generation,best_formula,combined_fitness,fitness,novelty,complexity,strict_hits,closeness,variance
140,1176*x**2 + 130*x,3542450.255105455,2.5092089977584935e-09,3542450.4251054525,17,0,2.5092089977584935e-09,12548955014329.8
141,1184*x**2 + 92*x,3565461.0257162065,2.4934741542477273e-09,3565461.1857162043,16,0,2.4934741542477273e-09,12712513466848.8
142,1194*x**2 + 75*x,3595077.5264880215,2.4731385130340755e-09,3595077.6864880193,16,0,2.4731385130340755e-09,12924583571884.05
143,1196*x**2 + 163*x,3603557.1548885703,2.4663003608853463e-09,3603557.324888568,17,0,2.4663003608853463e-09,12985625393758.05
144,1207*x**2 + 167*x,3636770.187409059,2.4437469729917182e-09,3636770.3574090567,17,0,2.4437469729917182e-09,13226098632529.2
145,1221*x**2 + 58*x,3675850.36470759,2.4189991014821358e-09,3675850.524707588,16,0,2.4189991014821358e-09,13511877079993.05
146,1223*x**2 + 76*x,3682372.1799392225,2.414515771349007e-09,3682372.3399392203,16,0,2.414515771349007e-09,13559866049949.45
147,1239*x**2 + 113*x,3731554.13435118,2.3823013988244886e-09,3731554.3043511775,17,0,2.3823013988244886e-09,13924497526321.8
148,1247*x**2 + 115*x + 6,3755683.599576256,2.366977811580746e-09,3755683.8095762534,21,0,2.366977811580746e-09,14105160877513.2
149,1247*x**2 + 125*x + 15,3755963.276104324,2.366689873796452e-09,3755963.496104322,22,0,2.366689873796452e-09,14107261784068.2
150,1259*x**2 + 197*x,3794087.4596250486,2.342176160090626e-09,3794087.629625046,17,0,2.342176160090626e-09,14395100941273.8
151,1263*x**2 + 145*x,3804669.838709851,2.3362075102492692e-09,3804670.0087098484,17,0,2.3362075102492692e-09,14475513875176.2
152,1277*x**2 + 90*x,3845260.3203154057,2.3121209904798927e-09,3845260.4803154035,16,0,2.3121209904798927e-09,14786028161475.45
153,1289*x**2 + 141*x,3882797.058346958,2.2892668720822777e-09,3882797.2283469555,17,0,2.2892668720822777e-09,15076114316458.8
154,1291*x**2 + 124*x,3888339.98136447,2.286174561892024e-09,3888340.1513644676,17,0,2.286174561892024e-09,15119189132713.05
155,1302*x**2 + 187*x,3923203.187263611,2.2652523620930333e-09,3923203.3572636084,17,0,2.2652523620930333e-09,15391524582444.45
156,1304*x**2 + 183*x,3929109.7013746947,2.26188862117527e-09,3929109.8713746923,17,0,2.26188862117527e-09,15437904381334.05
157,1313*x**2 + 72*x,3953087.9525165255,2.2492480977287863e-09,3953088.1125165233,16,0,2.2492480977287863e-09,15626905625319.45
158,1324*x**2 + 57*x,3985769.5914076334,2.230952096421e-09,3985769.751407631,16,0,2.230952096421e-09,15886360511236.05
159,1340*x**2 + 136*x,4036126.2096035946,2.2023925259536762e-09,4036126.379603592,17,0,2.2023925259536762e-09,16290316152132.0
160,1349*x**2 + 152*x - 12,4063656.42483985,2.187339417843726e-09,4063656.644839848,22,0,2.187339417843726e-09,16513305327151.05
161,1351*x**2 + 163*x + 4,4069982.4857561896,2.1838339733408204e-09,4069982.695756187,21,0,2.1838339733408204e-09,16564759143754.8
162,1353*x**2 + 56*x,4073008.309561961,2.1831858024423203e-09,4073008.4695619587,16,0,2.1831858024423203e-09,16589397993123.45
163,1369*x**2 + 175*x,4124483.682374479,2.1548901974837917e-09,4124483.8523744764,17,0,2.1548901974837917e-09,17011367048497.8
164,1374*x**2 + 106*x + 3,4137599.778006673,2.1486691332471552e-09,4137599.9880066705,21,0,2.1486691332471552e-09,17119733660752.8
165,1383*x**2 + 140*x,4165633.512273739,2.1339209616758933e-09,4165633.6822737367,17,0,2.1339209616758933e-09,17352503974893.45
166,1389*x**2 + 147*x,4183884.4696460096,2.1245569618876237e-09,4183884.639646007,17,0,2.1245569618876237e-09,17504890677865.8
167,1396*x**2 + 104*x,4203746.194088207,2.114890728206535e-09,4203746.364088205,17,0,2.114890728206535e-09,17671483493584.8
168,1408*x**2 + 109*x,4239996.388012573,2.0967740129552705e-09,4239996.558012571,17,0,2.0967740129552705e-09,17977570811958.45
169,1416*x**2 + 157*x,4265412.449711728,2.08388765613273e-09,4265412.619711726,17,0,2.08388765613273e-09,18193744816396.05
170,1418*x**2 + 81*x,4269305.249901061,2.082616488060574e-09,4269305.409901059,16,0,2.082616488060574e-09,18226968683010.45
171,1429*x**2 + 117*x,4303413.251546531,2.0658217582379206e-09,4303413.421546529,17,0,2.0658217582379206e-09,18519367076746.8
172,1435*x**2 + 146*x + 1,4322279.476364392,2.0565742263561595e-09,4322279.68636439,21,0,2.0565742263561595e-09,18682101687158.25
173,1450*x**2 + 145*x,4367389.4875450265,2.035351540565112e-09,4367389.6575450245,17,0,2.035351540565112e-09,19074092420831.25
174,1462*x**2 + 166*x,4404087.184811575,2.0182373252859375e-09,4404087.354811573,17,0,2.0182373252859375e-09,19395985428811.2
175,1469*x**2 + 181*x,4425571.091960519,2.0083302808721394e-09,4425571.261960517,17,0,2.0083302808721394e-09,19585680994690.8
176,1477*x**2 + 186*x + 12,4449784.455214686,1.997366201022149e-09,4449784.675214684,22,0,1.997366201022149e-09,19800583655775.45
177,1481*x**2 + 160*x + 15,4461094.044967853,1.9925013486942755e-09,4461094.264967851,22,0,1.9925013486942755e-09,19901362040929.05
178,1490*x**2 + 188*x + 14,4488959.94082489,1.9799307565944245e-09,4488960.160824887,22,0,1.9799307565944245e-09,20150763325473.0
179,1497*x**2 + 186*x,4509968.42417108,1.970734133031231e-09,4509968.594171078,17,0,1.970734133031231e-09,20339816720409.45
180,1504*x**2 + 120*x,4529186.858595399,1.9628616063147047e-09,4529187.028595397,17,0,1.9628616063147047e-09,20513535139996.8
181,1509*x**2 + 171*x,4545659.240184821,1.9553799196811272e-09,4545659.410184819,17,0,1.9553799196811272e-09,20663019473401.8
182,1516*x**2 + 163*x + 2,4566499.820880331,1.9465181751521357e-09,4566500.030880329,21,0,1.9465181751521357e-09,20852922532030.05
183,1532*x**2 + 177*x,4615038.561247059,1.925958757388204e-09,4615038.731247057,17,0,1.925958757388204e-09,21298582490910.45
184,1543*x**2 + 194*x,4648615.190897422,1.9119376142098326e-09,4648615.36089742,17,0,1.9119376142098326e-09,21609624773571.45
